fec.gov
title,Two Year Summary
description,2016 Operating Expenditures
timestamp,Sun Sep 18 19:27:51 GMT 2016
copyright,"Copyright 2012, Federal Election Commission."
cmte_id,C00580100
cmte_nm,DONALD J. TRUMP FOR PRESIDENT, INC.
"Payee Name","Purpose","City","State","Zip","Payment Date","Amount","Memo Code","Report Type","Report Year","Image Number","Transaction Code","Other Id","Candidate Id","Transaction PGI",
"ACCURATE APPEND COM","LIST RENTAL [AMEX: SB23.288951]","SEATTLE","WA","98101","12/09/2015","$7,000.00","X","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575924","","","","P",
"ACCURATE EVENT GROUP INC.","EVENT EXPENSE: PARKING SERVICES","HOLLYWOOD","FL","33020","04/18/2016","$2,760.00","","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007344","","","","P",
"ACE RENT A CAR","TRAVEL: CAR RENTAL [AMEX: SB23.513914]","INDIANAPOLIS","IN","46241","03/28/2016","$250.00","X","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007345","","","","P",
"ACE SIGN CO.","PRINTING AND DESIGN SERVICES","SPRINGFIELD","IL","62704","11/16/2015","$292.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280147","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: YARD SIGNS, CLOTHING, DECALS, FREIGHT","LAFAYETTE","LA","70598","10/05/2015","$73,389.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280148","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: YARD SIGNS, CLOTHING, DECALS, FREIGHT","LAFAYETTE","LA","70598","10/21/2015","$55,991.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280148","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: YARD SIGNS, CLOTHING, DECALS, FREIGHT","LAFAYETTE","LA","70598","10/22/2015","$18,928.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280148","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: YARD SIGNS, CLOTHING, DECALS, FREIGHT","LAFAYETTE","LA","70598","10/26/2015","$59,486.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280149","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: YARD SIGNS, CLOTHING, DECALS, FREIGHT","LAFAYETTE","LA","70598","10/29/2015","$3,127.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280149","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: MUGS/DECALS/FREIGHT","LAFAYETTE","LA","70598","11/05/2015","$16,987.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280149","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: T-SHIRTS/FREIGHT","LAFAYETTE","LA","70598","11/06/2015","$29,935.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280150","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: FREIGHT","LAFAYETTE","LA","70598","11/09/2015","$3,142.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280150","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: FREIGHT","LAFAYETTE","LA","70598","11/16/2015","$4,389.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280150","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: STICKERS/HATS/T-SHIRTS/FREIGHT","LAFAYETTE","LA","70598","11/18/2015","$17,837.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280151","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: HATS/T-SHIRTS/FREIGHT","LAFAYETTE","LA","70598","11/23/2015","$46,843.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280151","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: YARD SIGNS, CLOTHING, DECALS, FREIGHT","LAFAYETTE","LA","70598","12/01/2015","$16,127.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280151","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: YARD SIGNS, CLOTHING, DECALS, FREIGHT","LAFAYETTE","LA","70598","12/03/2015","$73,716.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280152","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: YARD SIGNS, CLOTHING, DECALS, FREIGHT","LAFAYETTE","LA","70598","12/09/2015","$59,593.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280152","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: YARD SIGNS, CLOTHING, DECALS, FREIGHT","LAFAYETTE","LA","70598","12/14/2015","$33,426.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280152","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","01/04/2016","$125,233.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575925","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","01/06/2016","$107,014.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575925","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","01/13/2016","$154,829.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575925","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","01/21/2016","$215,646.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575926","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","01/30/2016","$105,197.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575926","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","02/18/2016","$105,549.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931670","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","02/25/2016","$247,833.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931670","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","02/28/2016","$26,411.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931671","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","03/10/2016","$77,682.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964923","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","03/16/2016","$74,529.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964923","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","03/18/2016","$425,213.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964923","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","03/24/2016","$75,671.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964924","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","03/29/2016","$44,811.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964924","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","03/30/2016","$1,365.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964924","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","03/31/2016","$389,789.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964925","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","03/31/2016","$96,320.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964925","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","04/18/2016","$155,337.00","","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007345","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","04/25/2016","$277,148.00","","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007345","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","04/29/2016","$199,104.00","","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007346","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","04/30/2016","$10,858.00","","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007346","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","04/30/2016","$20,177.00","","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007346","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","05/11/2016","$121,621.00","","M6","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596632","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","05/16/2016","$67,244.00","","M6","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596632","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","05/23/2016","$241,279.00","","M6","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596632","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","05/31/2016","$118,115.00","","M6","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596633","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","05/31/2016","$58,481.00","","M6","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596633","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","05/31/2016","$87,252.00","","M6","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596633","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","07/13/2016","$83,653.00","","M8","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201608209023700804","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","07/13/2016","$214,693.00","","M8","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201608209023700804","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","07/13/2016","$259,492.00","","M8","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201608209023700804","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","07/18/2016","$247,276.00","","M8","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201608209023700805","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","07/25/2016","$47,946.00","","M8","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201608209023700805","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","07/31/2016","$526,258.00","","M8","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201608209023700805","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","06/14/2016","$286,274.00","","M7","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201609129030798600","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","06/16/2016","$13,871.00","","M7","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201609129030798600","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","06/28/2016","$106,276.00","","M7","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201609129030798600","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","06/29/2016","$7,356.00","","M7","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201609129030798601","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: TSHIRTS/MUGS/STICKERS/FREIGHT","LAFAYETTE","LA","70598","06/30/2016","$336,201.00","","M7","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201609129030798601","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: T-SHIRTS/HATS","LAFAYETTE","LA","70598","08/07/2015","$40,250.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512179004291094","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: T-SHIRTS/HATS/DECALS","LAFAYETTE","LA","70598","08/07/2015","$51,626.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512179004291095","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: T-SHIRTS/HATS","LAFAYETTE","LA","70598","08/18/2015","$70,626.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512179004291095","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: T-SHIRTS","LAFAYETTE","LA","70598","08/20/2015","$26,020.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512179004291095","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: FREIGHT","LAFAYETTE","LA","70598","08/31/2015","$24,060.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512179004291096","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: FREIGHT","LAFAYETTE","LA","70598","08/31/2015","$39,390.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512179004291096","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: T-SHIRTS/HATS","LAFAYETTE","LA","70598","08/31/2015","$52,302.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512179004291096","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: T-SHIRTS/HATS","LAFAYETTE","LA","70598","09/09/2015","$117,792.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512179004291097","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: T-SHIRTS/FREIGHT","LAFAYETTE","LA","70598","09/16/2015","$5,689.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512179004291097","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: T-SHIRTS/HATS","LAFAYETTE","LA","70598","09/23/2015","$137,558.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512179004291097","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: T-SHIRTS/HATS","LAFAYETTE","LA","70598","09/30/2015","$5,329.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512179004291098","","","","P",
"ACE SPECIALTIES, LLC","COLLATERAL: FREIGHT","LAFAYETTE","LA","70598","09/30/2015","$22,167.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512179004291098","","","","",
"ACQUEST VIDEO AND SOUND PRODUCTIONS","AUDIO VISUAL SERVICES","MIAMI","FL","33196","07/31/2016","$1,200.00","","M8","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201608209023700806","","","","P",
"ACS SOUND & LIGHTING","EVENT STAGING EXPENSE [AMEX: SB23.248389]","WEST COLUMBIA","SC","29169","09/22/2015","$262.00","X","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280153","","","","P",
"ACS SOUND & LIGHTING","EQUIPMENT RENTAL [AMEX: SB23.362557]","COLUMBIA","SC","29201","01/11/2016","$329.00","X","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931671","","","","P",
"ACS SOUND & LIGHTING","EVENT EXPENSE: EQUIPMENT RENTAL [SMITH: SB23.6684]","WEST COLUMBIA","SC","29169","09/16/2015","$302.00","X","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512179004291098","","","","P",
"ACS SOUND AND LIGHTING","EVENT STAGING EXPENSE","WEST COLUMBIA","SC","29169","11/03/2015","$14,392.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280153","","","","P",
"ACS SOUND AND LIGHTING","EVENT STAGING EXPENSE","WEST COLUMBIA","SC","29169","12/03/2015","$14,736.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280153","","","","P",
"ACS SOUND AND LIGHTING","AUDIO VISUAL SERVICES","WEST COLUMBIA","SC","29169","02/28/2016","$34,439.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931671","","","","P",
"ACS SOUND AND LIGHTING","EVENT STAGING EXPENSE","WEST COLUMBIA","SC","29169","06/30/2016","$28,983.00","","M7","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201609129030798601","","","","P",
"ADAMS, ASHTON","PAYROLL","NEW YORK","NY","10022","11/25/2015","$553.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280154","","","","P",
"ADAMS, ASHTON","PAYROLL","NEW YORK","NY","10022","11/30/2015","$1,500.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280154","","","","P",
"ADAMS, ASHTON","PAYROLL","NEW YORK","NY","10022","12/15/2015","$1,500.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280154","","","","P",
"ADAMS, ASHTON","PAYROLL","NEW YORK","NY","10022","12/30/2015","$1,500.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280155","","","","P",
"ADAMS, ASHTON","PAYROLL","NEW YORK","NY","10022","01/14/2016","$2,250.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575926","","","","P",
"ADAMS, ASHTON","PAYROLL","NEW YORK","NY","10022","01/29/2016","$2,250.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575927","","","","P",
"ADAMS, ASHTON","PAYROLL","NEW YORK","NY","10022","02/12/2016","$2,250.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931672","","","","P",
"ADAMS, ASHTON","TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATION BELOW IF REQUIRED","NEW YORK","NY","10022","02/24/2016","$165.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931672","","","","P",
"ADAMS, ASHTON","PAYROLL","NEW YORK","NY","10022","02/29/2016","$2,250.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931672","","","","P",
"ADAMS, ASHTON","PAYROLL","NEW YORK","NY","10022","03/15/2016","$2,250.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964925","","","","P",
